Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Delivery_Status,Customer_Rating,Salesperson
ORD-00001,2024-01-21,CUST-9322,Ishaan Joshi,Male,41,Bengaluru,Karnataka,South,Clothing,Men Wear,Jeans,7,1884.36,0.0,13190.5,10852.08,2338.42,UPI,Delivered,5.0,Rohan Patil
ORD-00002,2024-10-03,CUST-9666,Diya Jadhav,Male,42,Mangalore,Karnataka,South,Electronics,Mobile,Samsung M14,2,14496.24,0.2,23193.99,17981.21,5212.78,Debit Card,Delivered,3.0,Karan Mehta
ORD-00003,2024-07-08,CUST-4556,Priya Iyer,Male,20,Kolhapur,Maharashtra,West,Furniture,Storage,Shoe Rack,7,2354.86,0.0,16483.99,11790.24,4693.75,Debit Card,Delivered,3.0,Sneha Sharma
ORD-00004,2024-11-11,CUST-7235,Pooja Reddy,Male,19,Jodhpur,Rajasthan,North,Clothing,Men Wear,Jeans,7,1704.16,0.0,11929.15,10339.11,1590.03,Credit Card,Delivered,4.0,Amit Verma
ORD-00005,2024-03-21,CUST-4843,Neha Sharma,Male,23,Dwarka,Delhi,North,Clothing,Men Wear,Formal Shirt,7,1321.86,0.15,7865.08,6153.96,1711.12,Debit Card,Unknown,5.0,Amit Verma
ORD-00006,2024-09-26,CUST-8892,Priya Sharma,Female,57,Durgapur,West Bengal,East,Clothing,Men Wear,Jacket,7,2635.86,0.05,17528.46,13335.27,4193.19,UPI,Delivered,5.0,Priya Joshi
ORD-00007,2024-07-06,CUST-9006,Aditya Patil,Female,18,Hubli,Karnataka,South,Clothing,Footwear,Sneakers,2,2514.87,0.05,4778.25,4380.74,397.52,UPI,Delivered,1.0,Neha Singh
ORD-00008,2025-08-15,CUST-7184,Neha Mehta,Female,59,Madurai,Tamil Nadu,South,Electronics,Mobile,Samsung M14,1,13324.17,0.0,13324.17,11085.98,2238.19,Cash,Delivered,4.0,Priya Joshi
ORD-00009,2025-05-17,CUST-9154,Sara Joshi,Female,57,Kolkata,West Bengal,East,Clothing,Women Wear,Dress,7,2110.96,0.05,14037.86,9528.11,4509.75,UPI,Delivered,3.0,Neha Singh
ORD-00010,2024-01-05,CUST-1206,Neha Mehta,Male,26,Mysuru,Karnataka,South,Furniture,Chair,Gaming Chair,1,11774.24,0.2,9419.39,9898.81,-479.42,Debit Card,Delivered,2.0,Neha Singh
ORD-00011,2024-08-28,CUST-7374,Kabir Iyer,Female,40,Madurai,Tamil Nadu,South,Electronics,Mobile,Samsung M14,2,13863.12,0.0,27726.25,23647.68,4078.57,Credit Card,Delivered,5.0,Amit Verma
ORD-00012,2025-11-29,CUST-4627,Neha Verma,Female,23,Mysuru,Karnataka,South,Clothing,Men Wear,Jacket,7,2601.18,0.0,18208.26,11653.55,6554.7,Cash,Delivered,4.0,Neha Singh
ORD-00013,2025-04-17,CUST-6864,Priya Singh,Male,30,Jaipur,Rajasthan,North,Clothing,Men Wear,Jeans,6,1909.32,0.0,11455.94,7466.33,3989.61,UPI,Delivered,3.0,Amit Verma
ORD-00014,2024-08-12,CUST-2495,Ishaan Singh,Female,49,Karimnagar,Telangana,South,Grocery,Beverages,Tea Pack,7,282.96,0.05,1881.66,1477.71,403.95,UPI,Delivered,1.0,Priya Joshi
